sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio
5.1,3.5,1.4,0.2,setosa,0.6862745098039216
4.9,3.0,1.4,0.2,setosa,0.6122448979591836
4.7,3.2,1.3,0.2,setosa,0.6808510638297872
4.6,3.1,1.5,0.2,setosa,0.673913043478261
5.0,3.4,1.5,0.2,setosa,0.6799999999999999
4.4,2.9,1.4,0.2,setosa,0.6590909090909091
4.9,3.1,1.5,0.1,setosa,0.6326530612244897
5.4,3.7,1.5,0.2,setosa,0.6851851851851851
4.8,3.0,1.4,0.1,setosa,0.625
4.3,3.0,1.1,0.1,setosa,0.6976744186046512
5.8,4.0,1.2,0.2,setosa,0.6896551724137931
5.1,3.5,1.4,0.3,setosa,0.6862745098039216
5.7,3.8,1.7,0.3,setosa,0.6666666666666666
5.4,3.4,1.7,0.2,setosa,0.6296296296296295
5.1,3.3,1.7,0.5,setosa,0.6470588235294118
5.0,3.0,1.6,0.2,setosa,0.6
5.0,3.4,1.6,0.4,setosa,0.6799999999999999
5.2,3.5,1.5,0.2,setosa,0.673076923076923
5.2,3.4,1.4,0.2,setosa,0.6538461538461539
4.7,3.2,1.6,0.2,setosa,0.6808510638297872
4.8,3.1,1.6,0.2,setosa,0.6458333333333334
5.4,3.4,1.5,0.4,setosa,0.6296296296296295
4.9,3.1,1.5,0.2,setosa,0.6326530612244897
5.0,3.2,1.2,0.2,setosa,0.64
5.5,3.5,1.3,0.2,setosa,0.6363636363636364
4.4,3.0,1.3,0.2,setosa,0.6818181818181818
5.1,3.4,1.5,0.2,setosa,0.6666666666666667
4.5,2.3,1.3,0.3,setosa,0.5111111111111111
4.8,3.0,1.4,0.3,setosa,0.625
4.6,3.2,1.4,0.2,setosa,0.6956521739130436
5.3,3.7,1.5,0.2,setosa,0.6981132075471699
5.0,3.3,1.4,0.2,setosa,0.6599999999999999
7.0,3.2,4.7,1.4,versicolor,0.4571428571428572
6.4,3.2,4.5,1.5,versicolor,0.5
6.9,3.1,4.9,1.5,versicolor,0.4492753623188406
5.5,2.3,4.0,1.3,versicolor,0.41818181818181815
6.5,2.8,4.6,1.5,versicolor,0.43076923076923074
5.7,2.8,4.5,1.3,versicolor,0.49122807017543857
6.3,3.3,4.7,1.6,versicolor,0.5238095238095238
4.9,2.4,3.3,1.0,versicolor,0.48979591836734687
6.6,2.9,4.6,1.3,versicolor,0.4393939393939394
5.2,2.7,3.9,1.4,versicolor,0.5192307692307693
5.0,2.0,3.5,1.0,versicolor,0.4
5.9,3.0,4.2,1.5,versicolor,0.5084745762711864
6.0,2.2,4.0,1.0,versicolor,0.3666666666666667
6.1,2.9,4.7,1.4,versicolor,0.4754098360655738
5.6,2.9,3.6,1.3,versicolor,0.5178571428571429
6.7,3.1,4.4,1.4,versicolor,0.4626865671641791
5.6,3.0,4.5,1.5,versicolor,0.5357142857142857
5.8,2.7,4.1,1.0,versicolor,0.4655172413793104
6.2,2.2,4.5,1.5,versicolor,0.3548387096774194
5.6,2.5,3.9,1.1,versicolor,0.44642857142857145
5.9,3.2,4.8,1.8,versicolor,0.5423728813559322
6.1,2.8,4.0,1.3,versicolor,0.45901639344262296
6.3,2.5,4.9,1.5,versicolor,0.39682539682539686
6.1,2.8,4.7,1.2,versicolor,0.45901639344262296
6.4,2.9,4.3,1.3,versicolor,0.45312499999999994
6.6,3.0,4.4,1.4,versicolor,0.4545454545454546
6.8,2.8,4.8,1.4,versicolor,0.4117647058823529
6.7,3.0,5.0,1.7,versicolor,0.44776119402985076
6.0,2.9,4.5,1.5,versicolor,0.48333333333333334
5.7,2.6,3.5,1.0,versicolor,0.45614035087719296
5.5,2.4,3.8,1.1,versicolor,0.43636363636363634
5.5,2.4,3.7,1.0,versicolor,0.43636363636363634
5.8,2.7,3.9,1.2,versicolor,0.4655172413793104
6.0,2.7,5.1,1.6,versicolor,0.45
5.4,3.0,4.5,1.5,versicolor,0.5555555555555555
6.0,3.4,4.5,1.6,versicolor,0.5666666666666667
6.7,3.1,4.7,1.5,versicolor,0.4626865671641791
6.3,2.3,4.4,1.3,versicolor,0.36507936507936506
5.6,3.0,4.1,1.3,versicolor,0.5357142857142857
5.5,2.5,4.0,1.3,versicolor,0.45454545454545453
5.5,2.6,4.4,1.2,versicolor,0.4727272727272727
6.1,3.0,4.6,1.4,versicolor,0.49180327868852464
5.8,2.6,4.0,1.2,versicolor,0.4482758620689655
5.0,2.3,3.3,1.0,versicolor,0.45999999999999996
5.6,2.7,4.2,1.3,versicolor,0.4821428571428572
5.7,3.0,4.2,1.2,versicolor,0.5263157894736842
5.7,2.9,4.2,1.3,versicolor,0.5087719298245613
6.2,2.9,4.3,1.3,versicolor,0.46774193548387094
5.1,2.5,3.0,1.1,versicolor,0.4901960784313726
5.7,2.8,4.1,1.3,versicolor,0.49122807017543857
6.3,3.3,6.0,2.5,virginica,0.5238095238095238
5.8,2.7,5.1,1.9,virginica,0.4655172413793104
7.1,3.0,5.9,2.1,virginica,0.4225352112676057
6.3,2.9,5.6,1.8,virginica,0.4603174603174603
6.5,3.0,5.8,2.2,virginica,0.46153846153846156
7.6,3.0,6.6,2.1,virginica,0.39473684210526316
4.9,2.5,4.5,1.7,virginica,0.5102040816326531
7.3,2.9,6.3,1.8,virginica,0.3972602739726027
6.7,2.5,5.8,1.8,virginica,0.3731343283582089
7.2,3.6,6.1,2.5,virginica,0.5
6.5,3.2,5.1,2.0,virginica,0.49230769230769234
6.4,2.7,5.3,1.9,virginica,0.421875
6.8,3.0,5.5,2.1,virginica,0.4411764705882353
5.7,2.5,5.0,2.0,virginica,0.43859649122807015
5.8,2.8,5.1,2.4,virginica,0.48275862068965514
6.4,3.2,5.3,2.3,virginica,0.5
6.5,3.0,5.5,1.8,virginica,0.46153846153846156
7.7,3.8,6.7,2.2,virginica,0.49350649350649345
7.7,2.6,6.9,2.3,virginica,0.33766233766233766
6.0,2.2,5.0,1.5,virginica,0.3666666666666667
6.9,3.2,5.7,2.3,virginica,0.463768115942029
5.6,2.8,4.9,2.0,virginica,0.5
7.7,2.8,6.7,2.0,virginica,0.3636363636363636
6.3,2.7,4.9,1.8,virginica,0.4285714285714286
6.7,3.3,5.7,2.1,virginica,0.4925373134328358
